[2025-05-19 23:27:52] TransactionID: 4 | Amount: 3988.33 | Status: FRAUD | Reasons: High transaction amount
[2025-05-19 23:27:58] TransactionID: 36 | Amount: 406.11 | Status: SAFE | Reasons: None
[2025-05-19 23:27:58] TransactionID: 54 | Amount: 85.39 | Status: SAFE | Reasons: None
[2025-05-19 23:27:58] TransactionID: 102 | Amount: 44.47 | Status: SAFE | Reasons: None
[2025-05-19 23:27:58] TransactionID: 73 | Amount: 452.17 | Status: SAFE | Reasons: None
[2025-05-19 23:27:58] TransactionID: 87 | Amount: 919.65 | Status: SAFE | Reasons: None
[2025-05-19 23:27:58] TransactionID: 248 | Amount: 947.76 | Status: SAFE | Reasons: None
[2025-05-19 23:27:58] TransactionID: 135 | Amount: 971.59 | Status: SAFE | Reasons: None
[2025-05-19 23:27:58] TransactionID: 143 | Amount: 608.81 | Status: SAFE | Reasons: None
[2025-05-19 23:27:58] TransactionID: 108 | Amount: 550.04 | Status: SAFE | Reasons: None
[2025-05-19 23:27:58] TransactionID: 141 | Amount: 494.87 | Status: SAFE | Reasons: None
[2025-05-19 23:27:59] TransactionID: 61 | Amount: 894.26 | Status: SAFE | Reasons: None
[2025-05-19 23:27:59] TransactionID: 125 | Amount: 1958.35 | Status: SAFE | Reasons: None
[2025-05-19 23:27:59] TransactionID: 156 | Amount: 978.25 | Status: SAFE | Reasons: None
[2025-05-19 23:27:59] TransactionID: 149 | Amount: 850.19 | Status: SAFE | Reasons: None
[2025-05-19 23:27:59] TransactionID: 129 | Amount: 32.41 | Status: SAFE | Reasons: None
[2025-05-19 23:27:59] TransactionID: 181 | Amount: 546.18 | Status: SAFE | Reasons: None
[2025-05-19 23:27:59] TransactionID: 48 | Amount: 754.75 | Status: SAFE | Reasons: None
[2025-05-19 23:27:59] TransactionID: 31 | Amount: 710.43 | Status: SAFE | Reasons: None
[2025-05-19 23:27:59] TransactionID: 151 | Amount: 308.0 | Status: SAFE | Reasons: None
[2025-05-19 23:27:59] TransactionID: 131 | Amount: 103.27 | Status: SAFE | Reasons: None
[2025-05-19 23:27:59] TransactionID: 150 | Amount: 714.6 | Status: SAFE | Reasons: None

[2025-05-19 23:27:59] TransactionID: 171 | Amount: 763.2 | Status: SAFE | Reasons: None
[2025-05-19 23:27:59] TransactionID: 97 | Amount: 3660.52 | Status: FRAUD | Reasons: High transaction amount
[2025-05-19 23:27:59] TransactionID: 72 | Amount: 61.02 | Status: SAFE | Reasons: None
[2025-05-19 23:27:59] TransactionID: 282 | Amount: 306.54 | Status: SAFE | Reasons: None
[2025-05-19 23:27:59] TransactionID: 84 | Amount: 11.6 | Status: SAFE | Reasons: None
[2025-05-19 23:28:00] TransactionID: 64 | Amount: 645.8 | Status: SAFE | Reasons: None
[2025-05-19 23:28:00] TransactionID: 91 | Amount: 188.95 | Status: SAFE | Reasons: None
[2025-05-19 23:28:00] TransactionID: 75 | Amount: 128.82 | Status: SAFE | Reasons: None
[2025-05-19 23:28:00] TransactionID: 291 | Amount: 571.36 | Status: SAFE | Reasons: None
[2025-05-19 23:28:00] TransactionID: 186 | Amount: 36.39 | Status: SAFE | Reasons: None
[2025-05-19 23:28:00] TransactionID: 212 | Amount: 318.68 | Status: SAFE | Reasons: None
[2025-05-19 23:28:00] TransactionID: 152 | Amount: 348.64 | Status: SAFE | Reasons: None
[2025-05-19 23:28:00] TransactionID: 82 | Amount: 580.39 | Status: SAFE | Reasons: None
[2025-05-19 23:28:00] TransactionID: 174 | Amount: 365.15 | Status: SAFE | Reasons: None
[2025-05-19 23:28:00] TransactionID: 78 | Amount: 755.42 | Status: SAFE | Reasons: None
[2025-05-19 23:28:00] TransactionID: 210 | Amount: 448.17 | Status: SAFE | Reasons: None
[2025-05-19 23:28:01] TransactionID: 240 | Amount: 602.57 | Status: SAFE | Reasons: None
[2025-05-19 23:28:01] TransactionID: 175 | Amount: 746.73 | Status: SAFE | Reasons: None
[2025-05-19 23:28:01] TransactionID: 70 | Amount: 523.99 | Status: SAFE | Reasons: None
[2025-05-19 23:28:01] TransactionID: 93 | Amount: 22.07 | Status: SAFE | Reasons: None
[2025-05-19 23:28:01] TransactionID: 256 | Amount: 748.91 | Status: SAFE | Reasons: None
[2025-05-19 23:28:01] TransactionID: 155 | Amount: 152.08 | Status: SAFE | Reasons: None
[2025-05-19 23:28:01] TransactionID: 163 | Amount: 315.84 | Status: SAFE | Reasons: None
[2025-05-19 23:28:01] TransactionID: 101 | Amount: 987.87 | Status: SAFE | Reasons: None
[2025-05-19 23:28:01] TransactionID: 144 | Amount: 126.8 | Status: SAFE | Reasons: None
[2025-05-19 23:28:01] TransactionID: 249 | Amount: 449.58 | Status: SAFE | Reasons: None
[2025-05-19 23:28:01] TransactionID: 133 | Amount: 138.22 | Status: SAFE | Reasons: None
[2025-05-19 23:28:01] TransactionID: 90 | Amount: 281.84 | Status: SAFE | Reasons: None
[2025-05-19 23:28:01] TransactionID: 130 | Amount: 436.74 | Status: SAFE | Reasons: None
[2025-05-19 23:28:02] TransactionID: 204 | Amount: 437.28 | Status: SAFE | Reasons: None
[2025-05-19 23:28:02] TransactionID: 81 | Amount: 938.57 | Status: SAFE | Reasons: None
[2025-05-19 23:28:02] TransactionID: 107 | Amount: 279.25 | Status: SAFE | Reasons: None
[2025-05-19 23:28:02] TransactionID: 88 | Amount: 676.54 | Status: SAFE | Reasons: None
[2025-05-19 23:28:02] TransactionID: 95 | Amount: 827.89 | Status: SAFE | Reasons: None
[2025-05-19 23:28:02] TransactionID: 202 | Amount: 267.07 | Status: SAFE | Reasons: None
[2025-05-19 23:28:02] TransactionID: 315 | Amount: 4742.69 | Status: FRAUD | Reasons: High transaction amount
[2025-05-19 23:28:02] TransactionID: 62 | Amount: 506.52 | Status: SAFE | Reasons: None
[2025-05-19 23:28:02] TransactionID: 139 | Amount: 635.06 | Status: SAFE | Reasons: None
[2025-05-19 23:28:02] TransactionID: 80 | Amount: 720.45 | Status: SAFE | Reasons: None
[2025-05-19 23:28:03] TransactionID: 441 | Amount: 261.21 | Status: SAFE | Reasons: None
[2025-05-19 23:28:03] TransactionID: 182 | Amount: 724.36 | Status: SAFE | Reasons: None
[2025-05-19 23:28:03] TransactionID: 116 | Amount: 382.21 | Status: SAFE | Reasons: None
[2025-05-19 23:28:03] TransactionID: 234 | Amount: 925.41 | Status: SAFE | Reasons: None
[2025-05-19 23:28:03] TransactionID: 128 | Amount: 348.45 | Status: SAFE | Reasons: None
[2025-05-19 23:28:03] TransactionID: 47 | Amount: 489.18 | Status: SAFE | Reasons: None
[2025-05-19 23:28:03] TransactionID: 134 | Amount: 627.5 | Status: SAFE | Reasons: None
[2025-05-19 23:28:03] TransactionID: 184 | Amount: 273.92 | Status: SAFE | Reasons: None
[2025-05-19 23:28:03] TransactionID: 100 | Amount: 374.71 | Status: SAFE | Reasons: None
[2025-05-19 23:28:03] TransactionID: 207 | Amount: 2673.6 | Status: FRAUD | Reasons: High transaction amount
[2025-05-19 23:28:03] TransactionID: 57 | Amount: 26.53 | Status: SAFE | Reasons: None
[2025-05-19 23:28:03] TransactionID: 154 | Amount: 46.51 | Status: SAFE | Reasons: None
[2025-05-19 23:28:04] TransactionID: 121 | Amount: 1409.86 | Status: SAFE | Reasons: None
[2025-05-19 23:28:04] TransactionID: 132 | Amount: 918.97 | Status: SAFE | Reasons: None
[2025-05-19 23:28:04] TransactionID: 69 | Amount: 430.4 | Status: SAFE | Reasons: None
[2025-05-19 23:28:04] TransactionID: 189 | Amount: 520.14 | Status: SAFE | Reasons: None
[2025-05-19 23:28:04] TransactionID: 122 | Amount: 422.94 | Status: SAFE | Reasons: None
[2025-05-19 23:28:04] TransactionID: 250 | Amount: 502.79 | Status: SAFE | Reasons: None
[2025-05-19 23:28:04] TransactionID: 188 | Amount: 143.87 | Status: SAFE | Reasons: None
[2025-05-19 23:28:04] TransactionID: 67 | Amount: 158.5 | Status: SAFE | Reasons: None
[2025-05-19 23:28:04] TransactionID: 320 | Amount: 289.78 | Status: SAFE | Reasons: None
[2025-05-19 23:28:04] TransactionID: 60 | Amount: 938.83 | Status: SAFE | Reasons: None
[2025-05-19 23:28:04] TransactionID: 172 | Amount: 734.16 | Status: SAFE | Reasons: None
[2025-05-19 23:28:04] TransactionID: 356 | Amount: 187.77 | Status: SAFE | Reasons: None
[2025-05-19 23:28:04] TransactionID: 166 | Amount: 633.03 | Status: SAFE | Reasons: None
[2025-05-19 23:28:05] TransactionID: 79 | Amount: 298.25 | Status: SAFE | Reasons: None
[2025-05-19 23:28:05] TransactionID: 185 | Amount: 804.55 | Status: SAFE | Reasons: None
[2025-05-19 23:28:05] TransactionID: 120 | Amount: 52.53 | Status: SAFE | Reasons: None
[2025-05-19 23:28:05] TransactionID: 353 | Amount: 666.71 | Status: SAFE | Reasons: None
[2025-05-19 23:28:05] TransactionID: 180 | Amount: 489.29 | Status: SAFE | Reasons: None
[2025-05-19 23:28:05] TransactionID: 293 | Amount: 528.9 | Status: SAFE | Reasons: None
[2025-05-19 23:28:05] TransactionID: 106 | Amount: 3305.73 | Status: FRAUD | Reasons: High transaction amount
[2025-05-19 23:28:05] TransactionID: 145 | Amount: 415.47 | Status: SAFE | Reasons: None
[2025-05-19 23:28:05] TransactionID: 237 | Amount: 237.37 | Status: SAFE | Reasons: None
[2025-05-19 23:28:05] TransactionID: 251 | Amount: 554.5 | Status: SAFE | Reasons: None
[2025-05-19 23:28:05] TransactionID: 252 | Amount: 713.29 | Status: SAFE | Reasons: None
[2025-05-19 23:28:05] TransactionID: 158 | Amount: 873.43 | Status: SAFE | Reasons: None
[2025-05-19 23:28:05] TransactionID: 142 | Amount: 4456.49 | Status: FRAUD | Reasons: High transaction amount
[2025-05-19 23:28:05] TransactionID: 187 | Amount: 335.31 | Status: SAFE | Reasons: None
[2025-05-19 23:28:05] TransactionID: 153 | Amount: 160.19 | Status: SAFE | Reasons: None
[2025-05-19 23:28:05] TransactionID: 119 | Amount: 408.42 | Status: SAFE | Reasons: None
[2025-05-19 23:28:05] TransactionID: 49 | Amount: 4733.35 | Status: FRAUD | Reasons: High transaction amount, Nighttime high amount transaction
[2025-05-19 23:28:05] TransactionID: 331 | Amount: 10.41 | Status: SAFE | Reasons: None
[2025-05-19 23:28:05] TransactionID: 213 | Amount: 407.23 | Status: SAFE | Reasons: None
[2025-05-19 23:28:06] TransactionID: 295 | Amount: 364.59 | Status: SAFE | Reasons: None
[2025-05-19 23:28:06] TransactionID: 260 | Amount: 67.1 | Status: SAFE | Reasons: None
[2025-05-19 23:28:06] TransactionID: 294 | Amount: 859.12 | Status: SAFE | Reasons: None
[2025-05-19 23:28:06] TransactionID: 177 | Amount: 975.36 | Status: SAFE | Reasons: None
[2025-05-19 23:28:06] TransactionID: 266 | Amount: 762.78 | Status: SAFE | Reasons: None
[2025-05-19 23:28:06] TransactionID: 285 | Amount: 520.33 | Status: SAFE | Reasons: None
[2025-05-19 23:28:06] TransactionID: 76 | Amount: 869.23 | Status: SAFE | Reasons: None
[2025-05-19 23:28:06] TransactionID: 257 | Amount: 59.08 | Status: SAFE | Reasons: None
[2025-05-19 23:28:06] TransactionID: 112 | Amount: 544.53 | Status: SAFE | Reasons: None
[2025-05-19 23:28:06] TransactionID: 170 | Amount: 584.38 | Status: SAFE | Reasons: None
[2025-05-19 23:28:06] TransactionID: 126 | Amount: 106.97 | Status: SAFE | Reasons: None
[2025-05-19 23:28:06] TransactionID: 375 | Amount: 282.54 | Status: SAFE | Reasons: None
[2025-05-19 23:28:06] TransactionID: 220 | Amount: 839.7 | Status: SAFE | Reasons: None
[2025-05-19 23:28:06] TransactionID: 208 | Amount: 273.79 | Status: SAFE | Reasons: None
[2025-05-19 23:28:06] TransactionID: 138 | Amount: 412.51 | Status: SAFE | Reasons: None
[2025-05-19 23:28:06] TransactionID: 227 | Amount: 929.76 | Status: SAFE | Reasons: None
[2025-05-19 23:28:06] TransactionID: 223 | Amount: 1753.51 | Status: SAFE | Reasons: None
[2025-05-19 23:28:07] TransactionID: 221 | Amount: 706.75 | Status: SAFE | Reasons: None
[2025-05-19 23:28:07] TransactionID: 146 | Amount: 708.65 | Status: SAFE | Reasons: None
[2025-05-19 23:28:07] TransactionID: 292 | Amount: 870.96 | Status: SAFE | Reasons: None
[2025-05-19 23:28:07] TransactionID: 344 | Amount: 240.3 | Status: SAFE | Reasons: None
[2025-05-19 23:28:07] TransactionID: 406 | Amount: 90.11 | Status: SAFE | Reasons: None
[2025-05-19 23:28:07] TransactionID: 92 | Amount: 631.31 | Status: SAFE | Reasons: None
[2025-05-19 23:28:07] TransactionID: 127 | Amount: 4671.04 | Status: FRAUD | Reasons: High transaction amount
[2025-05-19 23:28:07] TransactionID: 505 | Amount: 462.76 | Status: SAFE | Reasons: None
[2025-05-19 23:28:07] TransactionID: 287 | Amount: 917.1 | Status: SAFE | Reasons: None
[2025-05-19 23:28:08] TransactionID: 471 | Amount: 979.99 | Status: SAFE | Reasons: None
[2025-05-19 23:28:08] TransactionID: 173 | Amount: 3966.92 | Status: FRAUD | Reasons: High transaction amount, Nighttime high amount transaction
[2025-05-19 23:28:08] TransactionID: 284 | Amount: 3661.52 | Status: FRAUD | Reasons: High transaction amount
[2025-05-19 23:28:08] TransactionID: 117 | Amount: 450.37 | Status: SAFE | Reasons: None
[2025-05-19 23:28:08] TransactionID: 136 | Amount: 513.73 | Status: SAFE | Reasons: None
[2025-05-19 23:28:08] TransactionID: 327 | Amount: 879.58 | Status: SAFE | Reasons: None
[2025-05-19 23:28:08] TransactionID: 196 | Amount: 241.87 | Status: SAFE | Reasons: None
[2025-05-19 23:28:08] TransactionID: 456 | Amount: 883.23 | Status: SAFE | Reasons: None
[2025-05-19 23:28:08] TransactionID: 98 | Amount: 160.04 | Status: SAFE | Reasons: None
[2025-05-19 23:28:08] TransactionID: 308 | Amount: 221.32 | Status: SAFE | Reasons: None
[2025-05-19 23:28:08] TransactionID: 318 | Amount: 870.91 | Status: SAFE | Reasons: None
[2025-05-19 23:28:08] TransactionID: 211 | Amount: 612.05 | Status: SAFE | Reasons: None
[2025-05-19 23:28:08] TransactionID: 302 | Amount: 892.84 | Status: SAFE | Reasons: None
[2025-05-19 23:28:08] TransactionID: 254 | Amount: 853.61 | Status: SAFE | Reasons: None
[2025-05-19 23:28:08] TransactionID: 214 | Amount: 2555.96 | Status: FRAUD | Reasons: High transaction amount
[2025-05-19 23:28:08] TransactionID: 109 | Amount: 1103.46 | Status: SAFE | Reasons: None
[2025-05-19 23:28:08] TransactionID: 424 | Amount: 293.45 | Status: SAFE | Reasons: None
[2025-05-19 23:28:09] TransactionID: 123 | Amount: 393.08 | Status: SAFE | Reasons: None
[2025-05-19 23:28:09] TransactionID: 274 | Amount: 584.13 | Status: SAFE | Reasons: None
[2025-05-19 23:28:09] TransactionID: 297 | Amount: 182.93 | Status: SAFE | Reasons: None
[2025-05-19 23:28:09] TransactionID: 203 | Amount: 811.14 | Status: SAFE | Reasons: None
[2025-05-19 23:28:09] TransactionID: 233 | Amount: 955.59 | Status: SAFE | Reasons: None
[2025-05-19 23:28:09] TransactionID: 253 | Amount: 426.14 | Status: SAFE | Reasons: None
[2025-05-19 23:28:09] TransactionID: 183 | Amount: 630.26 | Status: SAFE | Reasons: None
[2025-05-19 23:28:09] TransactionID: 279 | Amount: 373.93 | Status: SAFE | Reasons: None
[2025-05-19 23:28:09] TransactionID: 481 | Amount: 32.94 | Status: SAFE | Reasons: None
[2025-05-19 23:28:09] TransactionID: 218 | Amount: 34.87 | Status: SAFE | Reasons: None
[2025-05-19 23:28:09] TransactionID: 232 | Amount: 564.44 | Status: SAFE | Reasons: None
[2025-05-19 23:28:09] TransactionID: 354 | Amount: 196.84 | Status: SAFE | Reasons: None
[2025-05-19 23:28:09] TransactionID: 205 | Amount: 325.58 | Status: SAFE | Reasons: None
[2025-05-19 23:28:09] TransactionID: 179 | Amount: 563.21 | Status: SAFE | Reasons: None
[2025-05-19 23:28:09] TransactionID: 160 | Amount: 112.49 | Status: SAFE | Reasons: None
[2025-05-19 23:28:10] TransactionID: 465 | Amount: 28.43 | Status: SAFE | Reasons: None
[2025-05-19 23:28:10] TransactionID: 263 | Amount: 471.11 | Status: SAFE | Reasons: None
[2025-05-19 23:28:10] TransactionID: 313 | Amount: 879.29 | Status: SAFE | Reasons: None
[2025-05-19 23:28:10] TransactionID: 215 | Amount: 223.55 | Status: SAFE | Reasons: None
[2025-05-19 23:28:10] TransactionID: 361 | Amount: 149.11 | Status: SAFE | Reasons: None
[2025-05-19 23:28:10] TransactionID: 162 | Amount: 517.68 | Status: SAFE | Reasons: None
[2025-05-19 23:28:10] TransactionID: 432 | Amount: 932.12 | Status: SAFE | Reasons: None
[2025-05-19 23:28:10] TransactionID: 191 | Amount: 336.91 | Status: SAFE | Reasons: None
[2025-05-19 23:28:10] TransactionID: 198 | Amount: 396.12 | Status: SAFE | Reasons: None
[2025-05-19 23:28:10] TransactionID: 491 | Amount: 230.36 | Status: SAFE | Reasons: None
[2025-05-19 23:28:11] TransactionID: 328 | Amount: 620.64 | Status: SAFE | Reasons: None
[2025-05-19 23:28:11] TransactionID: 168 | Amount: 137.49 | Status: SAFE | Reasons: None
[2025-05-19 23:28:11] TransactionID: 176 | Amount: 886.57 | Status: SAFE | Reasons: None
[2025-05-19 23:28:11] TransactionID: 451 | Amount: 222.2 | Status: SAFE | Reasons: None
[2025-05-19 23:28:11] TransactionID: 390 | Amount: 433.39 | Status: SAFE | Reasons: None
[2025-05-19 23:28:11] TransactionID: 167 | Amount: 235.55 | Status: SAFE | Reasons: None
[2025-05-19 23:28:11] TransactionID: 169 | Amount: 672.53 | Status: SAFE | Reasons: None
[2025-05-19 23:28:11] TransactionID: 414 | Amount: 392.34 | Status: SAFE | Reasons: None
[2025-05-19 23:28:11] TransactionID: 494 | Amount: 445.48 | Status: SAFE | Reasons: None
[2025-05-19 23:28:11] TransactionID: 276 | Amount: 65.73 | Status: SAFE | Reasons: None
[2025-05-19 23:28:11] TransactionID: 325 | Amount: 382.89 | Status: SAFE | Reasons: None
[2025-05-19 23:28:11] TransactionID: 409 | Amount: 687.08 | Status: SAFE | Reasons: None
[2025-05-19 23:28:11] TransactionID: 311 | Amount: 728.18 | Status: SAFE | Reasons: None
[2025-05-19 23:28:11] TransactionID: 697 | Amount: 954.08 | Status: SAFE | Reasons: None
[2025-05-19 23:28:11] TransactionID: 219 | Amount: 931.13 | Status: SAFE | Reasons: None
[2025-05-19 23:28:11] TransactionID: 530 | Amount: 204.67 | Status: SAFE | Reasons: None
[2025-05-19 23:28:11] TransactionID: 472 | Amount: 426.33 | Status: SAFE | Reasons: None
[2025-05-19 23:28:11] TransactionID: 378 | Amount: 4718.63 | Status: FRAUD | Reasons: High transaction amount
[2025-05-19 23:28:11] TransactionID: 477 | Amount: 194.43 | Status: SAFE | Reasons: None
[2025-05-19 23:28:11] TransactionID: 359 | Amount: 551.66 | Status: SAFE | Reasons: None
[2025-05-19 23:28:12] TransactionID: 389 | Amount: 238.71 | Status: SAFE | Reasons: None
[2025-05-19 23:28:12] TransactionID: 99 | Amount: 3329.02 | Status: FRAUD | Reasons: High transaction amount
[2025-05-19 23:28:12] TransactionID: 193 | Amount: 390.32 | Status: SAFE | Reasons: None
[2025-05-19 23:28:12] TransactionID: 362 | Amount: 940.9 | Status: SAFE | Reasons: None
[2025-05-19 23:28:12] TransactionID: 326 | Amount: 840.84 | Status: SAFE | Reasons: None
[2025-05-19 23:28:12] TransactionID: 547 | Amount: 416.0 | Status: SAFE | Reasons: None
[2025-05-19 23:28:12] TransactionID: 199 | Amount: 423.88 | Status: SAFE | Reasons: None
[2025-05-19 23:28:12] TransactionID: 231 | Amount: 382.95 | Status: SAFE | Reasons: None
[2025-05-19 23:28:12] TransactionID: 74 | Amount: 438.51 | Status: SAFE | Reasons: None
[2025-05-19 23:28:12] TransactionID: 230 | Amount: 353.63 | Status: SAFE | Reasons: None
[2025-05-19 23:28:12] TransactionID: 330 | Amount: 4160.33 | Status: FRAUD | Reasons: High transaction amount
[2025-05-19 23:28:12] TransactionID: 566 | Amount: 311.55 | Status: SAFE | Reasons: None
[2025-05-19 23:28:12] TransactionID: 247 | Amount: 905.45 | Status: SAFE | Reasons: None
[2025-05-19 23:28:12] TransactionID: 364 | Amount: 590.35 | Status: SAFE | Reasons: None
[2025-05-19 23:28:12] TransactionID: 338 | Amount: 137.06 | Status: SAFE | Reasons: None
[2025-05-19 23:28:12] TransactionID: 466 | Amount: 953.26 | Status: SAFE | Reasons: None
[2025-05-19 23:28:12] TransactionID: 314 | Amount: 415.25 | Status: SAFE | Reasons: None
[2025-05-19 23:28:12] TransactionID: 584 | Amount: 692.28 | Status: SAFE | Reasons: None
[2025-05-19 23:28:12] TransactionID: 286 | Amount: 814.01 | Status: SAFE | Reasons: None
[2025-05-19 23:28:12] TransactionID: 137 | Amount: 752.29 | Status: SAFE | Reasons: None
[2025-05-19 23:28:12] TransactionID: 238 | Amount: 340.39 | Status: SAFE | Reasons: None
[2025-05-19 23:28:12] TransactionID: 244 | Amount: 435.16 | Status: SAFE | Reasons: None
[2025-05-19 23:28:12] TransactionID: 289 | Amount: 705.17 | Status: SAFE | Reasons: None
[2025-05-19 23:28:12] TransactionID: 343 | Amount: 20.38 | Status: SAFE | Reasons: None
[2025-05-19 23:28:12] TransactionID: 206 | Amount: 759.72 | Status: SAFE | Reasons: None
 transaction amount, Nighttime high amount transaction
